Table: Joule-Thomson coefficient [G]
Temperature {K} 	Pressure {kPa} 	Joule-Thomson coefficient {K/kPa} 	Uncertainty {K/kPa} 
298	2600	0.01144	0.00021
298	2800	0.01147	0.00020
298	3000	0.01151	0.00020
298	3200	0.01154	0.00020
298	3400	0.01157	0.00020
298	3600	0.01161	0.00020
298	3800	0.01163	0.00021
298	4000	0.01166	0.00022
298	4200	0.01168	0.00024
298	4400	0.01170	0.00025
298	4600	0.01171	0.00027
298	4800	0.01172	0.00029
298	5000	0.01172	0.00031
298	5200	0.01170	0.00033
298	5400	0.01166	0.00034
298	5600	0.01159	0.00035
299	200	0.01084	0.00035
299	400	0.01088	0.00034
299	600	0.01093	0.00032
299	800	0.01097	0.00031
299	1000	0.01101	0.00030
299	1200	0.01106	0.00028
299	1400	0.01110	0.00027
299	1600	0.01114	0.00026
299	1800	0.01118	0.00025
299	2000	0.01122	0.00024
299	2200	0.01126	0.00023
299	2400	0.01130	0.00022
299	2600	0.01133	0.00021
299	2800	0.01137	0.00020
299	3000	0.01140	0.00020
299	3200	0.01144	0.00020
299	3400	0.01147	0.00020
299	3600	0.01150	0.00020
299	3800	0.01152	0.00021
299	4000	0.01155	0.00022
299	4200	0.01157	0.00023
299	4400	0.01159	0.00025
299	4600	0.01160	0.00026
299	4800	0.01160	0.00028
299	5000	0.01160	0.00030
299	5200	0.01158	0.00032
299	5400	0.01155	0.00033
299	5600	0.01149	0.00034
300	200	0.01075	0.00034
300	400	0.01080	0.00033
300	600	0.01084	0.00032
300	800	0.01088	0.00031
300	1000	0.01092	0.00029
300	1200	0.01096	0.00028
300	1400	0.01100	0.00027
300	1600	0.01104	0.00026
300	1800	0.01108	0.00025
300	2000	0.01112	0.00023
300	2200	0.01116	0.00022
300	2400	0.01120	0.00021
300	2600	0.01123	0.00021
300	2800	0.01127	0.00020
300	3000	0.01130	0.00020
300	3200	0.01133	0.00019
300	3400	0.01136	0.00019
300	3600	0.01139	0.00020
300	3800	0.01141	0.00020
300	4000	0.01144	0.00021
300	4200	0.01146	0.00023
300	4400	0.01147	0.00024
300	4600	0.01148	0.00026
300	4800	0.01149	0.00027
300	5000	0.01149	0.00029
300	5200	0.01147	0.00031
300	5400	0.01144	0.00032
300	5600	0.01138	0.00033
300	5800	0.01128	0.00033
301	200	0.01067	0.00034
301	400	0.01071	0.00033
301	600	0.01075	0.00032
301	800	0.01079	0.00030
301	1000	0.01083	0.00029
301	1200	0.01087	0.00028
301	1400	0.01091	0.00027
301	1600	0.01095	0.00026
301	1800	0.01099	0.00024
301	2000	0.01103	0.00023
301	2200	0.01106	0.00022
301	2400	0.01110	0.00021
301	2600	0.01113	0.00020
301	2800	0.01116	0.00020
301	3000	0.01120	0.00019
301	3200	0.01123	0.00019
301	3400	0.01126	0.00019
301	3600	0.01128	0.00019
301	3800	0.01131	0.00020
301	4000	0.01133	0.00021
301	4200	0.01135	0.00022
301	4400	0.01136	0.00023
301	4600	0.01137	0.00025
301	4800	0.01138	0.00027
301	5000	0.01137	0.00028
301	5200	0.01136	0.00030
301	5400	0.01133	0.00031
301	5600	0.01128	0.00032
301	5800	0.01119	0.00033
301	6000	0.01103	0.00032
302	200	0.01059	0.00034
302	400	0.01063	0.00033
302	600	0.01067	0.00031
302	800	0.01071	0.00030
302	1000	0.01075	0.00029
302	1200	0.01079	0.00028
302	1400	0.01082	0.00027
302	1600	0.01086	0.00025
302	1800	0.01090	0.00024
302	2000	0.01093	0.00023
302	2200	0.01097	0.00022
302	2400	0.01100	0.00021
302	2600	0.01103	0.00020
302	2800	0.01107	0.00020
302	3000	0.01110	0.00019
302	3200	0.01113	0.00019
302	3400	0.01115	0.00019
302	3600	0.01118	0.00019
302	3800	0.01120	0.00020
302	4000	0.01122	0.00021
302	4200	0.01124	0.00022
302	4400	0.01125	0.00023
302	4600	0.01126	0.00024
302	4800	0.01127	0.00026
302	5000	0.01126	0.00027
302	5200	0.01125	0.00029
302	5400	0.01122	0.00030
302	5600	0.01118	0.00032
302	5800	0.01110	0.00032
302	6000	0.01097	0.00032
303	200	0.01051	0.00034
303	400	0.01055	0.00032
303	600	0.01059	0.00031
303	800	0.01062	0.00030
303	1000	0.01066	0.00029
303	1200	0.01070	0.00028
303	1400	0.01073	0.00026
303	1600	0.01077	0.00025
303	1800	0.01080	0.00024
303	2000	0.01084	0.00023
303	2200	0.01087	0.00022
303	2400	0.01091	0.00021
303	2600	0.01094	0.00020
303	2800	0.01097	0.00020
303	3000	0.01100	0.00019
303	3200	0.01102	0.00019
303	3400	0.01105	0.00019
303	3600	0.01108	0.00019
303	3800	0.01110	0.00019
303	4000	0.01112	0.00020
303	4200	0.01113	0.00021
303	4400	0.01115	0.00022
303	4600	0.01116	0.00024
303	4800	0.01116	0.00025
303	5000	0.01116	0.00027
303	5200	0.01114	0.00028
303	5400	0.01112	0.00030
303	5600	0.01108	0.00031
303	5800	0.01101	0.00031
303	6000	0.01090	0.00031
303	6200	0.01071	0.00029
304	200	0.01043	0.00033
304	400	0.01047	0.00032
304	600	0.01050	0.00031
304	800	0.01054	0.00030
304	1000	0.01058	0.00029
304	1200	0.01061	0.00027
304	1400	0.01065	0.00026
304	1600	0.01068	0.00025
304	1800	0.01071	0.00024
304	2000	0.01075	0.00023
304	2200	0.01078	0.00022
304	2400	0.01081	0.00021
304	2600	0.01084	0.00020
304	2800	0.01087	0.00019
304	3000	0.01090	0.00019
304	3200	0.01093	0.00019
304	3400	0.01095	0.00019
304	3600	0.01097	0.00019
304	3800	0.01100	0.00019
304	4000	0.01101	0.00020
304	4200	0.01103	0.00021
304	4400	0.01104	0.00022
304	4600	0.01105	0.00023
304	4800	0.01105	0.00024
304	5000	0.01105	0.00026
304	5200	0.01104	0.00027
304	5400	0.01101	0.00029
304	5600	0.01098	0.00030
304	5800	0.01092	0.00031
304	6000	0.01082	0.00031
304	6200	0.01066	0.00029
304	6400	0.01037	0.00026
305	200	0.01035	0.00033
305	400	0.01039	0.00032
305	600	0.01042	0.00031
305	800	0.01046	0.00030
305	1000	0.01049	0.00028
305	1200	0.01053	0.00027
305	1400	0.01056	0.00026
305	1600	0.01059	0.00025
305	1800	0.01063	0.00024
305	2000	0.01066	0.00023
305	2200	0.01069	0.00022
305	2400	0.01072	0.00021
305	2600	0.01075	0.00020
305	2800	0.01078	0.00019
305	3000	0.01080	0.00019
305	3200	0.01083	0.00019
305	3400	0.01085	0.00018
305	3600	0.01088	0.00019
305	3800	0.01090	0.00019
305	4000	0.01091	0.00020
305	4200	0.01093	0.00020
305	4400	0.01094	0.00021
305	4600	0.01095	0.00023
305	4800	0.01095	0.00024
305	5000	0.01095	0.00025
305	5200	0.01093	0.00027
305	5400	0.01091	0.00028
305	5600	0.01088	0.00029
305	5800	0.01082	0.00030
305	6000	0.01074	0.00030
305	6200	0.01060	0.00029
305	6400	0.01038	0.00027
306	200	0.01027	0.00033
306	400	0.01031	0.00032
306	600	0.01034	0.00030
306	800	0.01037	0.00029
306	1000	0.01041	0.00028
306	1200	0.01044	0.00027
306	1400	0.01047	0.00026
306	1600	0.01051	0.00025
306	1800	0.01054	0.00024
306	2000	0.01057	0.00023
306	2200	0.01060	0.00022
306	2400	0.01063	0.00021
306	2600	0.01066	0.00020
306	2800	0.01068	0.00019
306	3000	0.01071	0.00019
306	3200	0.01073	0.00018
306	3400	0.01076	0.00018
306	3600	0.01078	0.00018
306	3800	0.01080	0.00019
306	4000	0.01081	0.00019
306	4200	0.01083	0.00020
306	4400	0.01084	0.00021
306	4600	0.01084	0.00022
306	4800	0.01085	0.00023
306	5000	0.01084	0.00025
306	5200	0.01083	0.00026
306	5400	0.01081	0.00027
306	5600	0.01078	0.00028
306	5800	0.01073	0.00029
306	6000	0.01065	0.00029
306	6200	0.01054	0.00029
306	6400	0.01036	0.00027
306	6600	0.01003	0.00024
307	200	0.01019	0.00033
307	400	0.01023	0.00031
307	600	0.01026	0.00030
307	800	0.01029	0.00029
307	1000	0.01033	0.00028
307	1200	0.01036	0.00027
307	1400	0.01039	0.00026
307	1600	0.01042	0.00025
307	1800	0.01045	0.00023
307	2000	0.01048	0.00022
307	2200	0.01051	0.00021
307	2400	0.01054	0.00021
307	2600	0.01056	0.00020
307	2800	0.01059	0.00019
307	3000	0.01062	0.00019
307	3200	0.01064	0.00018
307	3400	0.01066	0.00018
307	3600	0.01068	0.00018
307	3800	0.01070	0.00018
307	4000	0.01072	0.00019
307	4200	0.01073	0.00020
307	4400	0.01074	0.00021
307	4600	0.01074	0.00022
307	4800	0.01075	0.00023
307	5000	0.01074	0.00024
307	5200	0.01073	0.00025
307	5400	0.01071	0.00026
307	5600	0.01068	0.00027
307	5800	0.01063	0.00028
307	6000	0.01056	0.00029
307	6200	0.01046	0.00028
307	6400	0.01031	0.00027
307	6600	0.01006	0.00025
307	6800	0.00956	0.00024
308	200	0.01012	0.00032
308	400	0.01015	0.00031
308	600	0.01018	0.00030
308	800	0.01021	0.00029
308	1000	0.01024	0.00028
308	1200	0.01028	0.00027
308	1400	0.01031	0.00025
308	1600	0.01034	0.00024
308	1800	0.01036	0.00023
308	2000	0.01039	0.00022
308	2200	0.01042	0.00021
308	2400	0.01045	0.00020
308	2600	0.01047	0.00020
308	2800	0.01050	0.00019
308	3000	0.01052	0.00018
308	3200	0.01055	0.00018
308	3400	0.01057	0.00018
308	3600	0.01059	0.00018
308	3800	0.01060	0.00018
308	4000	0.01062	0.00019
308	4200	0.01063	0.00019
308	4400	0.01064	0.00020
308	4600	0.01065	0.00021
308	4800	0.01065	0.00022
308	5000	0.01064	0.00023
308	5200	0.01063	0.00024
308	5400	0.01061	0.00026
308	5600	0.01058	0.00027
308	5800	0.01054	0.00027
308	6000	0.01048	0.00028
308	6200	0.01039	0.00028
308	6400	0.01026	0.00027
308	6600	0.01006	0.00025
308	6800	0.00971	0.00022
308	7000	0.00881	0.00046
309	200	0.01004	0.00032
309	400	0.01007	0.00031
309	600	0.01010	0.00030
309	800	0.01013	0.00029
309	1000	0.01016	0.00028
309	1200	0.01019	0.00026
309	1400	0.01022	0.00025
309	1600	0.01025	0.00024
309	1800	0.01028	0.00023
309	2000	0.01031	0.00022
309	2200	0.01033	0.00021
309	2400	0.01036	0.00020
309	2600	0.01039	0.00020
309	2800	0.01041	0.00019
309	3000	0.01043	0.00018
309	3200	0.01045	0.00018
309	3400	0.01047	0.00018
309	3600	0.01049	0.00018
309	3800	0.01051	0.00018
309	4000	0.01052	0.00018
309	4200	0.01053	0.00019
309	4400	0.01054	0.00020
309	4600	0.01055	0.00021
309	4800	0.01055	0.00022
309	5000	0.01054	0.00023
309	5200	0.01053	0.00024
309	5400	0.01052	0.00025
309	5600	0.01049	0.00026
309	5800	0.01045	0.00027
309	6000	0.01039	0.00027
309	6200	0.01031	0.00027
309	6400	0.01019	0.00027
309	6600	0.01002	0.00025
309	6800	0.00976	0.00022
309	7000	0.00927	0.00022
310	200	0.00997	0.00032
310	400	0.01000	0.00031
310	600	0.01003	0.00030
310	800	0.01006	0.00029
310	1000	0.01009	0.00027
310	1200	0.01011	0.00026
310	1400	0.01014	0.00025
310	1600	0.01017	0.00024
310	1800	0.01020	0.00023
310	2000	0.01022	0.00022
310	2200	0.01025	0.00021
310	2400	0.01027	0.00020
310	2600	0.01030	0.00019
310	2800	0.01032	0.00019
310	3000	0.01034	0.00018
310	3200	0.01036	0.00018
310	3400	0.01038	0.00018
310	3600	0.01040	0.00018
310	3800	0.01042	0.00018
310	4000	0.01043	0.00018
310	4200	0.01044	0.00019
310	4400	0.01045	0.00019
310	4600	0.01045	0.00020
310	4800	0.01045	0.00021
310	5000	0.01045	0.00022
310	5200	0.01044	0.00023
310	5400	0.01042	0.00024
310	5600	0.01039	0.00025
310	5800	0.01035	0.00026
310	6000	0.01030	0.00027
310	6200	0.01023	0.00027
310	6400	0.01012	0.00026
310	6600	0.00998	0.00025
310	6800	0.00976	0.00023
310	7000	0.00941	0.00020
310	7200	0.00867	0.00029
310	7400	0.00427	0.00039
310	7600	0.00326	0.00013
310	7800	0.002787	9.0e-5
310	8000	0.002478	7.4e-5
310	8200	0.002251	6.5e-5
310	8400	0.002072	5.9e-5
310	8600	0.001925	5.5e-5
310	8800	0.001802	5.1e-5
310	9000	0.001697	4.8e-5
310	9200	0.001605	4.5e-5
310	9400	0.001523	4.3e-5
310	9600	0.001450	4.1e-5
310	9800	0.001384	3.9e-5
310	10000	0.001324	3.8e-5
311	200	0.00989	0.00032
311	400	0.00992	0.00031
311	600	0.00995	0.00030
311	800	0.00998	0.00028
311	1000	0.01001	0.00027
311	1200	0.01004	0.00026
311	1400	0.01006	0.00025
311	1600	0.01009	0.00024
311	1800	0.01012	0.00023
311	2000	0.01014	0.00022
311	2200	0.01017	0.00021
311	2400	0.01019	0.00020
311	2600	0.01021	0.00019
311	2800	0.01023	0.00019
311	3000	0.01026	0.00018
311	3200	0.01027	0.00018
311	3400	0.01029	0.00017
311	3600	0.01031	0.00017
311	3800	0.01032	0.00018
311	4000	0.01034	0.00018
311	4200	0.01035	0.00018
311	4400	0.01035	0.00019
311	4600	0.01036	0.00020
311	4800	0.01036	0.00021
311	5000	0.01035	0.00022
311	5200	0.01034	0.00023
311	5400	0.01033	0.00024
311	5600	0.01030	0.00025
311	5800	0.01026	0.00025
311	6000	0.01021	0.00026
311	6200	0.01015	0.00026
311	6400	0.01005	0.00026
311	6600	0.00992	0.00025
311	6800	0.00974	0.00023
311	7000	0.00947	0.00020
311	7200	0.00900	0.00020
311	7400	0.00780	0.00053
311	7600	0.00431	0.00033
311	7800	0.00335	0.00012
311	8000	0.002869	8.4e-5
311	8200	0.002549	7.0e-5
311	8400	0.002313	6.2e-5
311	8600	0.002128	5.7e-5
311	8800	0.001976	5.4e-5
311	9000	0.001849	5.0e-5
311	9200	0.001739	4.8e-5
311	9400	0.001644	4.5e-5
311	9600	0.001560	4.3e-5
311	9800	0.001484	4.1e-5
311	10000	0.001417	4.0e-5
312	200	0.00982	0.00032
312	400	0.00985	0.00031
312	600	0.00988	0.00029
312	800	0.00990	0.00028
312	1000	0.00993	0.00027
312	1200	0.00996	0.00026
312	1400	0.00998	0.00025
312	1600	0.01001	0.00024
312	1800	0.01003	0.00023
312	2000	0.01006	0.00022
312	2200	0.01008	0.00021
312	2400	0.01011	0.00020
312	2600	0.01013	0.00019
312	2800	0.01015	0.00019
312	3000	0.01017	0.00018
312	3200	0.01019	0.00018
312	3400	0.01020	0.00017
312	3600	0.01022	0.00017
312	3800	0.01023	0.00017
312	4000	0.01025	0.00018
312	4200	0.01026	0.00018
312	4400	0.01026	0.00019
312	4600	0.01027	0.00019
312	4800	0.01026	0.00020
312	5000	0.01026	0.00021
312	5200	0.01025	0.00022
312	5400	0.01023	0.00023
312	5600	0.01021	0.00024
312	5800	0.01017	0.00025
312	6000	0.01013	0.00025
312	6200	0.01006	0.00026
312	6400	0.00998	0.00026
312	6600	0.00986	0.00025
312	6800	0.00971	0.00023
312	7000	0.00948	0.00021
312	7200	0.00913	0.00018
312	7400	0.00849	0.00023
312	7600	0.00668	0.00073
312	7800	0.00431	0.00028
312	8000	0.00343	0.00012
312	8200	0.002941	8.0e-5
312	8400	0.002615	6.7e-5
312	8600	0.002372	6.0e-5
312	8800	0.002181	5.6e-5
312	9000	0.002025	5.3e-5
312	9200	0.001894	5.0e-5
312	9400	0.001781	4.8e-5
312	9600	0.001683	4.6e-5
312	9800	0.001596	4.4e-5
312	10000	0.001518	4.2e-5
313	200	0.00975	0.00031
313	400	0.00978	0.00030
313	600	0.00980	0.00029
313	800	0.00983	0.00028
313	1000	0.00985	0.00027
313	1200	0.00988	0.00026
313	1400	0.00991	0.00025
313	1600	0.00993	0.00024
313	1800	0.00995	0.00023
313	2000	0.00998	0.00022
313	2200	0.01000	0.00021
313	2400	0.01002	0.00020
313	2600	0.01004	0.00019
313	2800	0.01006	0.00018
313	3000	0.01008	0.00018
313	3200	0.01010	0.00017
313	3400	0.01012	0.00017
313	3600	0.01013	0.00017
313	3800	0.01015	0.00017
313	4000	0.01016	0.00017
313	4200	0.01017	0.00018
313	4400	0.01017	0.00018
313	4600	0.01017	0.00019
313	4800	0.01017	0.00020
313	5000	0.01017	0.00021
313	5200	0.01016	0.00022
313	5400	0.01014	0.00023
313	5600	0.01012	0.00023
313	5800	0.01008	0.00024
313	6000	0.01004	0.00025
313	6200	0.00998	0.00025
313	6400	0.00990	0.00025
313	6600	0.00980	0.00025
313	6800	0.00966	0.00023
313	7000	0.00947	0.00021
313	7200	0.00919	0.00019
313	7400	0.00875	0.00018
313	7600	0.00790	0.00029
313	7800	0.00594	0.00053
313	8000	0.00428	0.00024
313	8200	0.00348	0.00011
313	8400	0.003003	7.8e-5
313	8600	0.002674	6.6e-5
313	8800	0.002427	6.0e-5
313	9000	0.002232	5.6e-5
313	9200	0.002072	5.3e-5
313	9400	0.001937	5.0e-5
313	9600	0.001821	4.8e-5
313	9800	0.001720	4.6e-5
313	10000	0.001631	4.4e-5
314	200	0.00968	0.00031
314	400	0.00970	0.00030
314	600	0.00973	0.00029
314	800	0.00975	0.00028
314	1000	0.00978	0.00027
314	1200	0.00980	0.00026
314	1400	0.00983	0.00025
314	1600	0.00985	0.00024
314	1800	0.00988	0.00023
314	2000	0.00990	0.00022
314	2200	0.00992	0.00021
314	2400	0.00994	0.00020
314	2600	0.00996	0.00019
314	2800	0.00998	0.00018
314	3000	0.01000	0.00018
314	3200	0.01002	0.00017
314	3400	0.01003	0.00017
314	3600	0.01005	0.00017
314	3800	0.01006	0.00017
314	4000	0.01007	0.00017
314	4200	0.01008	0.00018
314	4400	0.01008	0.00018
314	4600	0.01008	0.00019
314	4800	0.01008	0.00020
314	5000	0.01008	0.00020
314	5200	0.01007	0.00021
314	5400	0.01005	0.00022
314	5600	0.01003	0.00023
314	5800	0.01000	0.00024
314	6000	0.00996	0.00024
314	6200	0.00990	0.00025
314	6400	0.00983	0.00025
314	6600	0.00973	0.00024
314	6800	0.00961	0.00023
314	7000	0.00944	0.00022
314	7200	0.00921	0.00019
314	7400	0.00887	0.00017
314	7600	0.00831	0.00019
314	7800	0.00724	0.00034
314	8000	0.00551	0.00038
314	8200	0.00424	0.00020
314	8400	0.00352	0.00011
314	8600	0.003054	7.8e-5
314	8800	0.002726	6.6e-5
314	9000	0.002477	6.0e-5
314	9200	0.002279	5.6e-5
314	9400	0.002116	5.3e-5
314	9600	0.001978	5.1e-5
314	9800	0.001860	4.9e-5
314	10000	0.001756	4.7e-5
315	200	0.00961	0.00031
315	400	0.00963	0.00030
315	600	0.00966	0.00029
315	800	0.00968	0.00028
315	1000	0.00971	0.00027
315	1200	0.00973	0.00026
315	1400	0.00975	0.00025
315	1600	0.00978	0.00023
315	1800	0.00980	0.00022
315	2000	0.00982	0.00021
315	2200	0.00984	0.00021
315	2400	0.00986	0.00020
315	2600	0.00988	0.00019
315	2800	0.00990	0.00018
315	3000	0.00992	0.00018
315	3200	0.00993	0.00017
315	3400	0.00995	0.00017
315	3600	0.00996	0.00017
315	3800	0.00997	0.00017
315	4000	0.00998	0.00017
315	4200	0.00999	0.00017
315	4400	0.00999	0.00018
315	4600	0.01000	0.00018
315	4800	0.00999	0.00019
315	5000	0.00999	0.00020
315	5200	0.00998	0.00021
315	5400	0.00996	0.00022
315	5600	0.00994	0.00022
315	5800	0.00991	0.00023
315	6000	0.00987	0.00024
315	6200	0.00982	0.00024
315	6400	0.00975	0.00024
315	6600	0.00966	0.00024
315	6800	0.00955	0.00023
315	7000	0.00940	0.00022
315	7200	0.00920	0.00020
315	7400	0.00893	0.00017
315	7600	0.00851	0.00017
315	7800	0.00783	0.00022
315	8000	0.00664	0.00033
315	8200	0.00522	0.00030
315	8400	0.00420	0.00018
315	8600	0.00354	0.00011
315	8800	0.003096	8.0e-5
315	9000	0.002772	6.7e-5
315	9200	0.002522	6.1e-5
315	9400	0.002322	5.7e-5
315	9600	0.002157	5.4e-5
315	9800	0.002017	5.2e-5
315	10000	0.001896	5.0e-5
316	200	0.00954	0.00031
316	400	0.00956	0.00030
316	600	0.00959	0.00029
316	800	0.00961	0.00028
316	1000	0.00963	0.00027
316	1200	0.00966	0.00025
316	1400	0.00968	0.00024
316	1600	0.00970	0.00023
316	1800	0.00972	0.00022
316	2000	0.00974	0.00021
316	2200	0.00976	0.00020
316	2400	0.00978	0.00020
316	2600	0.00980	0.00019
316	2800	0.00982	0.00018
316	3000	0.00983	0.00018
316	3200	0.00985	0.00017
316	3400	0.00986	0.00017
316	3600	0.00988	0.00017
316	3800	0.00989	0.00017
316	4000	0.00990	0.00017
316	4200	0.00990	0.00017
316	4400	0.00991	0.00018
316	4600	0.00991	0.00018
316	4800	0.00991	0.00019
316	5000	0.00990	0.00020
316	5200	0.00989	0.00020
316	5400	0.00988	0.00021
316	5600	0.00985	0.00022
316	5800	0.00982	0.00023
316	6000	0.00979	0.00023
316	6200	0.00974	0.00024
316	6400	0.00967	0.00024
316	6600	0.00959	0.00024
316	6800	0.00949	0.00023
316	7000	0.00936	0.00022
316	7200	0.00918	0.00020
316	7400	0.00895	0.00018
316	7600	0.00862	0.00016
316	7800	0.00813	0.00017
316	8000	0.00734	0.00024
316	8200	0.00617	0.00029
316	8400	0.00501	0.00024
316	8600	0.00415	0.00016
316	8800	0.00355	0.00011
316	9000	0.003127	8.2e-5
316	9200	0.002810	7.0e-5
316	9400	0.002562	6.3e-5
316	9600	0.002362	5.9e-5
316	9800	0.002195	5.6e-5
316	10000	0.002053	5.3e-5
317	200	0.00947	0.00031
317	400	0.00949	0.00030
317	600	0.00952	0.00029
317	800	0.00954	0.00028
317	1000	0.00956	0.00026
317	1200	0.00958	0.00025
317	1400	0.00960	0.00024
317	1600	0.00962	0.00023
317	1800	0.00965	0.00022
317	2000	0.00967	0.00021
317	2200	0.00968	0.00020
317	2400	0.00970	0.00020
317	2600	0.00972	0.00019
317	2800	0.00974	0.00018
317	3000	0.00975	0.00017
317	3200	0.00977	0.00017
317	3400	0.00978	0.00017
317	3600	0.00979	0.00016
317	3800	0.00980	0.00016
317	4000	0.00981	0.00017
317	4200	0.00982	0.00017
317	4400	0.00982	0.00017
317	4600	0.00982	0.00018
317	4800	0.00982	0.00018
317	5000	0.00981	0.00019
317	5200	0.00980	0.00020
317	5400	0.00979	0.00021
317	5600	0.00977	0.00021
317	5800	0.00974	0.00022
317	6000	0.00970	0.00023
317	6200	0.00966	0.00023
317	6400	0.00960	0.00023
317	6600	0.00952	0.00023
317	6800	0.00943	0.00023
317	7000	0.00931	0.00022
317	7200	0.00915	0.00020
317	7400	0.00895	0.00018
317	7600	0.00868	0.00016
317	7800	0.00829	0.00015
317	8000	0.00772	0.00018
317	8200	0.00687	0.00023
317	8400	0.00580	0.00025
317	8600	0.00483	0.00021
317	8800	0.00409	0.00015
317	9000	0.00355	0.00011
317	9200	0.003151	8.5e-5
317	9400	0.002842	7.2e-5
317	9600	0.002597	6.5e-5
317	9800	0.002397	6.1e-5
317	10000	0.002230	5.7e-5
318	200	0.00940	0.00031
318	400	0.00942	0.00030
318	600	0.00945	0.00029
318	800	0.00947	0.00027
318	1000	0.00949	0.00026
318	1200	0.00951	0.00025
318	1400	0.00953	0.00024
318	1600	0.00955	0.00023
318	1800	0.00957	0.00022
318	2000	0.00959	0.00021
318	2200	0.00961	0.00020
318	2400	0.00963	0.00019
318	2600	0.00964	0.00019
318	2800	0.00966	0.00018
318	3000	0.00967	0.00017
318	3200	0.00969	0.00017
318	3400	0.00970	0.00017
318	3600	0.00971	0.00016
318	3800	0.00972	0.00016
318	4000	0.00973	0.00016
318	4200	0.00973	0.00017
318	4400	0.00974	0.00017
318	4600	0.00974	0.00018
318	4800	0.00973	0.00018
318	5000	0.00973	0.00019
318	5200	0.00972	0.00019
318	5400	0.00970	0.00020
318	5600	0.00968	0.00021
318	5800	0.00966	0.00022
318	6000	0.00962	0.00022
318	6200	0.00958	0.00023
318	6400	0.00952	0.00023
318	6600	0.00945	0.00023
318	6800	0.00936	0.00022
318	7000	0.00925	0.00022
318	7200	0.00912	0.00020
318	7400	0.00894	0.00019
318	7600	0.00870	0.00016
318	7800	0.00839	0.00015
318	8000	0.00795	0.00016
318	8200	0.00732	0.00019
318	8400	0.00646	0.00022
318	8600	0.00551	0.00021
318	8800	0.00469	0.00018
318	9000	0.00404	0.00014
318	9200	0.00355	0.00011
318	9400	0.003166	8.7e-5
318	9600	0.002868	7.5e-5
318	9800	0.002627	6.8e-5
318	10000	0.002429	6.3e-5
319	200	0.00933	0.00031
319	400	0.00935	0.00029
319	600	0.00938	0.00028
319	800	0.00940	0.00027
319	1000	0.00942	0.00026
319	1200	0.00944	0.00025
319	1400	0.00946	0.00024
319	1600	0.00948	0.00023
319	1800	0.00950	0.00022
319	2000	0.00951	0.00021
319	2200	0.00953	0.00020
319	2400	0.00955	0.00019
319	2600	0.00957	0.00019
319	2800	0.00958	0.00018
319	3000	0.00959	0.00017
319	3200	0.00961	0.00017
319	3400	0.00962	0.00016
319	3600	0.00963	0.00016
319	3800	0.00964	0.00016
319	4000	0.00965	0.00016
319	4200	0.00965	0.00016
319	4400	0.00965	0.00017
319	4600	0.00965	0.00017
319	4800	0.00965	0.00018
319	5000	0.00964	0.00018
319	5200	0.00963	0.00019
319	5400	0.00962	0.00020
319	5600	0.00960	0.00020
319	5800	0.00957	0.00021
319	6000	0.00954	0.00022
319	6200	0.00950	0.00022
319	6400	0.00945	0.00022
319	6600	0.00938	0.00022
319	6800	0.00930	0.00022
319	7000	0.00920	0.00021
319	7200	0.00907	0.00020
319	7400	0.00891	0.00019
319	7600	0.00871	0.00017
319	7800	0.00844	0.00015
319	8000	0.00808	0.00014
319	8200	0.00759	0.00016
319	8400	0.00693	0.00019
319	8600	0.00610	0.00020
319	8800	0.00528	0.00019
319	9000	0.00456	0.00016
319	9200	0.00399	0.00013
319	9400	0.00353	0.00010
319	9600	0.003175	8.8e-5
319	9800	0.002887	7.7e-5
319	10000	0.002652	7.0e-5
320	200	0.00927	0.00030
320	400	0.00929	0.00029
320	600	0.00931	0.00028
320	800	0.00933	0.00027
320	1000	0.00935	0.00026
320	1200	0.00937	0.00025
320	1400	0.00939	0.00024
320	1600	0.00941	0.00023
320	1800	0.00942	0.00022
320	2000	0.00944	0.00021
320	2200	0.00946	0.00020
320	2400	0.00947	0.00019
320	2600	0.00949	0.00018
320	2800	0.00950	0.00018
320	3000	0.00952	0.00017
320	3200	0.00953	0.00017
320	3400	0.00954	0.00016
320	3600	0.00955	0.00016
320	3800	0.00956	0.00016
320	4000	0.00956	0.00016
320	4200	0.00957	0.00016
320	4400	0.00957	0.00017
320	4600	0.00957	0.00017
320	4800	0.00957	0.00017
320	5000	0.00956	0.00018
320	5200	0.00955	0.00019
320	5400	0.00954	0.00019
320	5600	0.00952	0.00020
320	5800	0.00949	0.00021
320	6000	0.00946	0.00021
320	6200	0.00942	0.00022
320	6400	0.00937	0.00022
320	6600	0.00931	0.00022
320	6800	0.00923	0.00022
320	7000	0.00914	0.00021
320	7200	0.00902	0.00020
320	7400	0.00888	0.00019
320	7600	0.00870	0.00017
320	7800	0.00847	0.00015
320	8000	0.00817	0.00014
320	8200	0.00777	0.00014
320	8400	0.00724	0.00017
320	8600	0.00657	0.00018
320	8800	0.00581	0.00018
320	9000	0.00508	0.00016
320	9200	0.00445	0.00014
320	9400	0.00394	0.00012
320	9600	0.00352	0.00010
320	9800	0.003178	8.9e-5
320	10000	0.002902	7.9e-5
321	200	0.00920	0.00030
321	400	0.00922	0.00029
321	600	0.00924	0.00028
321	800	0.00926	0.00027
321	1000	0.00928	0.00026
321	1200	0.00930	0.00025
321	1400	0.00932	0.00024
321	1600	0.00933	0.00023
321	1800	0.00935	0.00022
